,station_id,latitude,longitude,elevation,date_time,wind_direction,wind_speed,air_temperature,dew_point_temperature,eastward_wind,northward_wind
0,KMOX,45.57,-95.97,344.0,2024-03-12 05:47:00,320.0,16.0,6.0,-2.0,10.284601754984633,-12.256711089903645
1,KJDN,47.33,-106.95,801.0,2024-03-12 05:48:00,0.0,0.0,0.0,-3.0,-0.0,-0.0
2,KBMC,41.55,-112.07,1288.0,2024-03-12 05:50:00,130.0,4.0,4.0,-3.0,-3.064177772475912,2.5711504387461575
3,KUKL,38.29,-95.73,358.0,2024-03-12 05:50:00,190.0,11.0,11.0,5.0,1.9101299543362351,10.832885283134289
4,KHVE,38.42,-110.7,1350.0,2024-03-12 05:50:00,210.0,4.0,10.0,-7.0,2.0000000000000004,3.4641016151377544
5,KLGU,41.78,-111.85,1355.0,2024-03-12 05:51:00,190.0,3.0,3.0,-3.0,0.5209445330007914,2.954423259036624
6,KCDJ,39.82,-93.58,234.0,2024-03-12 05:51:00,200.0,7.0,12.0,2.0,2.394141003279681,6.5778483455013586
7,KBHK,46.35,-104.25,902.0,2024-03-12 05:51:00,0.0,0.0,2.0,-4.0,-0.0,-0.0
8,KMBG,45.55,-100.42,510.0,2024-03-12 05:52:00,0.0,0.0,-1.0,-4.0,-0.0,-0.0
9,KVTN,42.87,-100.55,788.0,2024-03-12 05:52:00,300.0,4.0,3.0,-4.0,3.4641016151377544,-2.0000000000000004
10,KLWC,39.02,-95.22,253.0,2024-03-12 05:52:00,180.0,11.0,13.0,4.0,-1.3471114790620886e-15,11.0
11,KRAP,44.05,-103.05,965.0,2024-03-12 05:52:00,0.0,0.0,6.0,-6.0,-0.0,-0.0
12,KIEN,43.03,-102.52,998.0,2024-03-12 05:52:00,0.0,0.0,-1.0,-5.0,-0.0,-0.0
13,KOMA,41.32,-95.9,312.0,2024-03-12 05:52:00,160.0,10.0,12.0,1.0,-3.420201433256689,9.396926207859083
14,KEST,43.4,-94.75,401.0,2024-03-12 05:52:00,230.0,13.0,13.0,-1.0,9.958577760546714,8.356238925925012
15,KSUX,42.38,-96.38,338.0,2024-03-12 05:52:00,220.0,7.0,11.0,-1.0,4.499513267805774,5.362311101832846
16,KMHK,39.13,-96.68,317.0,2024-03-12 05:52:00,210.0,14.0,16.0,4.0,7.000000000000002,12.12435565298214
17,KBIS,46.77,-100.75,505.0,2024-03-12 05:52:00,0.0,0.0,-1.0,-3.0,-0.0,-0.0
18,KGCC,44.33,-105.55,1320.0,2024-03-12 05:53:00,230.0,15.0,7.0,-6.0,11.490666646784668,9.641814145298092
19,KRWF,44.55,-95.08,311.0,2024-03-12 05:53:00,200.0,10.0,9.0,-4.0,3.4202014332566866,9.396926207859085
20,KHEI,46.02,-102.65,828.0,2024-03-12 05:53:00,0.0,0.0,1.0,-5.0,-0.0,-0.0
21,KLAR,41.32,-105.67,2216.0,2024-03-12 05:53:00,0.0,0.0,2.0,-5.0,-0.0,-0.0
22,KTOR,42.07,-104.15,1277.0,2024-03-12 05:53:00,250.0,9.0,9.0,-3.0,8.457233587073176,3.078181289931017
23,KPIR,44.38,-100.28,526.0,2024-03-12 05:53:00,0.0,0.0,2.0,-2.0,-0.0,-0.0
24,KFCM,44.83,-93.47,280.0,2024-03-12 05:53:00,220.0,9.0,15.0,-2.0,5.785088487178854,6.894399988070802
25,KGRI,40.97,-98.32,561.0,2024-03-12 05:53:00,200.0,8.0,12.0,1.0,2.7361611466053493,7.517540966287267
26,KBRD,46.4,-94.13,372.0,2024-03-12 05:53:00,0.0,0.0,3.0,-4.0,-0.0,-0.0
27,KRWL,41.78,-107.2,2077.0,2024-03-12 05:53:00,210.0,11.0,1.0,-1.0,5.500000000000001,9.526279441628825
28,KEEO,40.04,-107.88,1930.0,2024-03-12 05:53:00,0.0,0.0,2.0,-1.0,-0.0,-0.0
29,KHVR,48.55,-109.77,787.0,2024-03-12 05:53:00,0.0,0.0,2.0,-3.0,-0.0,-0.0
30,KCDR,42.83,-103.1,1010.0,2024-03-12 05:53:00,230.0,6.0,3.0,-2.0,4.596266658713867,3.856725658119237
31,KBIL,45.8,-108.55,1091.0,2024-03-12 05:53:00,220.0,8.0,5.0,-5.0,5.142300877492314,6.128355544951824
32,KMCI,39.29,-94.73,320.0,2024-03-12 05:53:00,190.0,13.0,13.0,4.0,2.257426309670096,12.802500789158705
33,KGLD,39.36,-101.7,1113.0,2024-03-12 05:53:00,70.0,5.0,4.0,-6.0,-4.698463103929542,-1.7101007166283442
34,KEMP,38.33,-96.2,367.0,2024-03-12 05:53:00,170.0,15.0,12.0,4.0,-2.6047226650039543,14.772116295183121
35,KDEN,39.85,-104.65,1640.0,2024-03-12 05:53:00,330.0,8.0,6.0,-10.0,4.0000000000000036,-6.928203230275507
36,KWRL,43.97,-107.95,1271.0,2024-03-12 05:53:00,140.0,5.0,1.0,-6.0,-3.2139380484326976,3.8302222155948895
37,KETH,45.78,-96.55,313.0,2024-03-12 05:53:00,330.0,9.0,6.0,1.0,4.5000000000000036,-7.794228634059945
38,KAPA,39.57,-104.85,1775.0,2024-03-12 05:53:00,300.0,5.0,6.0,-12.0,4.330127018922193,-2.5000000000000004
