,station_id,latitude,longitude
0,KMOX,45.57,-95.97
1,KJDN,47.33,-106.95
2,KBMC,41.55,-112.07
3,KUKL,38.29,-95.73
4,KHVE,38.42,-110.7
5,KLGU,41.78,-111.85
6,KCDJ,39.82,-93.58
7,KBHK,46.35,-104.25
8,KMBG,45.55,-100.42
9,KVTN,42.87,-100.55
10,KLWC,39.02,-95.22
11,KRAP,44.05,-103.05
12,KIEN,43.03,-102.52
13,KOMA,41.32,-95.9
14,KEST,43.4,-94.75
15,KSUX,42.38,-96.38
16,KMHK,39.13,-96.68
17,KBIS,46.77,-100.75
18,KGCC,44.33,-105.55
19,KRWF,44.55,-95.08
20,KHEI,46.02,-102.65
21,KLAR,41.32,-105.67
22,KTOR,42.07,-104.15
23,KPIR,44.38,-100.28
24,KFCM,44.83,-93.47
25,KGRI,40.97,-98.32
26,KBRD,46.4,-94.13
27,KRWL,41.78,-107.2
28,KEEO,40.04,-107.88
29,KHVR,48.55,-109.77
30,KCDR,42.83,-103.1
31,KBIL,45.8,-108.55
32,KMCI,39.29,-94.73
33,KGLD,39.36,-101.7
34,KEMP,38.33,-96.2
35,KDEN,39.85,-104.65
36,KWRL,43.97,-107.95
37,KETH,45.78,-96.55
38,KAPA,39.57,-104.85
39,KMTJ,38.5,-107.9
40,KVEL,40.45,-109.52
41,KASE,39.22,-106.87
42,KCYS,41.15,-104.8
43,KGTF,47.47,-111.38
44,KLVM,45.7,-110.43
45,KBPI,42.58,-110.1
46,KBYG,44.38,-106.72
47,KLXV,39.22,-106.32
48,KBFF,41.87,-103.58
49,KLWD,40.63,-93.9
50,KIDA,43.52,-112.07
51,KCUT,43.73,-103.62
52,KCNY,38.77,-109.75
53,KLND,42.82,-108.73
54,KODX,41.62,-98.95
55,KFAR,46.93,-96.82
56,KBDE,48.73,-94.62
57,KOGD,41.2,-112.02
58,KMLS,46.43,-105.88
59,KLXT,38.97,-94.37
60,KOLF,48.1,-105.58
61,KFNB,40.07,-95.58
62,KITR,39.22,-102.28
63,KCAG,40.5,-107.52
64,KSPW,43.17,-95.22
65,KRIW,43.07,-108.47
66,KFOE,38.93,-95.65
67,KGEY,44.52,-108.08
68,KXVG,46.98,-94.2
69,KFOZ,47.77,-93.65
70,KDVP,43.98,-95.78
71,KLBF,41.12,-100.67
72,KIML,40.52,-101.62
73,KSLN,38.78,-97.65
74,KSTJ,39.77,-94.92
75,KHSI,40.6,-98.43
76,KHLN,46.6,-111.98
77,KSHR,44.77,-106.97
78,KPUC,39.61,-110.75
79,KDGW,42.8,-105.38
80,KMHE,43.77,-98.02
81,KMCK,40.2,-100.58
82,KBBW,41.43,-99.63
83,KRSL,38.86,-98.82
84,KIXD,38.82,-94.88
85,KOJC,38.85,-94.73
86,KGJT,39.11,-108.52
87,KGGW,48.22,-106.62
88,KSTC,45.55,-94.05
89,KPUB,38.28,-104.5
90,KATY,44.9,-97.15
91,KRIL,39.53,-107.73
92,KHLC,39.36,-99.83
93,KABR,45.45,-98.42
94,KTOP,39.07,-95.63
95,KGFK,47.95,-97.18
96,KICR,43.38,-99.85
97,KAQP,45.22,-96.0
98,KAKO,40.17,-103.22
99,KAIA,42.05,-102.8
100,KCPR,42.9,-106.47
101,KPKD,46.9,-95.07
102,KAXN,45.87,-95.4
